venue,innings,batting_team,bowling_team,striker,bowler,total_runs
"MA Chidambaram Stadium, Chepauk",1,Kolkata Knight Riders,Chennai Super Kings,"['SC Ganguly', 'WP Saha', 'RT Ponting', 'DJ Hussey', 'BB McCullum']","['JDP Oram', 'MS Gony', 'P Amarnath']",60
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Kolkata Knight Riders,"['PA Patel', 'ML Hayden']","['AB Dinda', 'AB Agarkar', 'I Sharma']",45
Dr DY Patil Sports Academy,1,Mumbai Indians,Deccan Chargers,"['SM Pollock', 'ST Jayasuriya', 'RV Uthappa', 'AM Rahane', 'L Ronchi']","['RP Singh', 'DNT Zoysa', 'Shahid Afridi', 'SB Bangar']",27
Dr DY Patil Sports Academy,2,Deccan Chargers,Mumbai Indians,"['AC Gilchrist', 'VVS Laxman']","['SM Pollock', 'ST Jayasuriya', 'SD Chitnis', 'A Nehra', 'DS Kulkarni']",59
"Punjab Cricket Association Stadium, Mohali",1,Delhi Daredevils,Kings XI Punjab,"['S Dhawan', 'Shoaib Malik', 'G Gambhir', 'V Sehwag']","['S Sreesanth', 'B Lee', 'IK Pathan', 'VRV Singh']",44
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Delhi Daredevils,"['K Goel', 'DPMD Jayawardene', 'KC Sangakkara', 'SM Katich']","['Mohammad Asif', 'GD McGrath', 'MF Maharoof']",55
M Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,"['PA Patel', 'MEK Hussey', 'ML Hayden']","['P Kumar', 'DW Steyn', 'Z Khan']",33
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,"['W Jaffer', 'LRPL Taylor', 'B Chipli']","['JDP Oram', 'MS Gony']",43
Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,"['SC Ganguly', 'RT Ponting', 'DJ Hussey', 'BB McCullum', 'DB Das']","['SM Pollock', 'DJ Bravo', 'A Nehra', 'DS Kulkarni', 'CRD Fernando']",39
Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,"['ST Jayasuriya', 'RV Uthappa', 'DJ Bravo', 'AM Rahane', 'MK Pandey']","['I Sharma', 'AB Dinda', 'AB Agarkar']",34
Feroz Shah Kotla,1,Delhi Daredevils,Royal Challengers Bangalore,"['S Dhawan', 'G Gambhir', 'V Sehwag']","['P Kumar', 'DW Steyn', 'Z Khan']",58
Feroz Shah Kotla,2,Royal Challengers Bangalore,Delhi Daredevils,"['W Jaffer', 'JH Kallis', 'P Kumar', 'R Dravid', 'LRPL Taylor']","['Mohammad Asif', 'GD McGrath', 'VY Mahesh']",55
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Kings XI Punjab,"['AC Gilchrist', 'HH Gibbs', 'VVS Laxman']","['S Sreesanth', 'IK Pathan', 'VRV Singh']",49
"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,Deccan Chargers,"['SE Marsh', 'RR Sarwan']","['RP Singh', 'DNT Zoysa', 'Shahid Afridi', 'SB Bangar']",41
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,"['GC Smith', 'M Kaif', 'SA Asnodkar']","['AB Dinda', 'Umar Gul', 'AB Agarkar', 'I Sharma']",41
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,"['Salman Butt', 'BJ Hodge', 'AB Agarkar', 'SC Ganguly']","['SK Trivedi', 'Sohail Tanvir', 'SR Watson']",40
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,"['PA Patel', 'S Vidyut', 'SP Fleming']","['Mohammad Asif', 'GD McGrath', 'PJ Sangwan', 'VY Mahesh']",45
"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,Chennai Super Kings,"['G Gambhir', 'V Sehwag']","['JA Morkel', 'M Ntini', 'MS Gony']",63
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Royal Challengers Bangalore,"['AC Gilchrist', 'HH Gibbs']","['A Kumble', 'DW Steyn', 'JH Kallis']",39
"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Deccan Chargers,"['W Jaffer', 'JH Kallis', 'Misbah-ul-Haq']","['WPUJC Vaas', 'RP Singh', 'DP Vijaykumar', 'SB Bangar']",43
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Kolkata Knight Riders,"['SE Marsh', 'KC Sangakkara', 'JR Hopes']","['I Sharma', 'AB Dinda', 'AB Agarkar']",45
"Punjab Cricket Association Stadium, Mohali",2,Kolkata Knight Riders,Kings XI Punjab,"['SC Ganguly', 'DJ Hussey', 'LR Shukla', 'Mohammad Hafeez', 'BJ Hodge', 'DB Das']","['S Sreesanth', 'IK Pathan']",31
Dr DY Patil Sports Academy,1,Mumbai Indians,Delhi Daredevils,"['ST Jayasuriya', 'YV Takawale']","['Mohammad Asif', 'GD McGrath', 'VY Mahesh']",50
Dr DY Patil Sports Academy,2,Delhi Daredevils,Mumbai Indians,"['S Dhawan', 'G Gambhir', 'AB de Villiers', 'V Sehwag']","['A Nehra', 'SM Pollock', 'DJ Bravo']",37
Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,"['S Badrinath', 'PA Patel', 'SK Raina', 'S Vidyut', 'SP Fleming', 'MS Dhoni']","['SK Trivedi', 'SR Watson', 'Sohail Tanvir', 'MM Patel']",34
Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,"['GC Smith', 'SA Asnodkar']","['M Ntini', 'MS Gony']",44
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,"['W Jaffer', 'JH Kallis', 'CL White', 'R Dravid', 'V Kohli']","['S Sreesanth', 'Gagandeep Singh', 'IK Pathan']",25
M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,"['SE Marsh', 'JR Hopes', 'RR Sarwan']","['P Kumar', 'JH Kallis', 'DW Steyn', 'Z Khan']",52
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Deccan Chargers,"['S Anirudha', 'S Badrinath', 'PA Patel', 'SK Raina', 'SP Fleming']","['SB Styris', 'RP Singh', 'DP Vijaykumar']",29
"MA Chidambaram Stadium, Chepauk",2,Deccan Chargers,Chennai Super Kings,"['AC Gilchrist', 'HH Gibbs', 'SB Styris']","['JA Morkel', 'M Ntini', 'MS Gony']",50
Dr DY Patil Sports Academy,1,Rajasthan Royals,Mumbai Indians,"['SR Watson', 'GC Smith', 'YK Pathan', 'SA Asnodkar']","['A Nehra', 'SM Pollock', 'DS Kulkarni']",48
Dr DY Patil Sports Academy,2,Mumbai Indians,Rajasthan Royals,"['ST Jayasuriya', 'YV Takawale']","['SK Trivedi', 'Sohail Tanvir', 'MM Patel']",34
Feroz Shah Kotla,1,Delhi Daredevils,Chennai Super Kings,"['S Dhawan', 'G Gambhir', 'AB de Villiers', 'V Sehwag']","['JA Morkel', 'MS Gony']",48
Feroz Shah Kotla,2,Chennai Super Kings,Delhi Daredevils,"['S Vidyut', 'SP Fleming']","['Mohammad Asif', 'GD McGrath', 'PJ Sangwan', 'VY Mahesh']",57
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,"['A Chopra', 'DJ Hussey', 'BJ Hodge', 'SC Ganguly']","['P Kumar', 'R Vinay Kumar', 'DW Steyn', 'Z Khan']",37
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,"['J Arunkumar', 'R Dravid', 'S Chanderpaul', 'MV Boucher']","['AB Dinda', 'Umar Gul', 'SC Ganguly', 'I Sharma']",35
Sawai Mansingh Stadium,1,Deccan Chargers,Rajasthan Royals,"['AC Gilchrist', 'HH Gibbs']","['SR Watson', 'Sohail Tanvir', 'MM Patel']",49
Sawai Mansingh Stadium,2,Rajasthan Royals,Deccan Chargers,"['GC Smith', 'YK Pathan']","['SB Styris', 'RP Singh', 'DP Vijaykumar', 'PP Ojha']",46
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"['Misbah-ul-Haq', 'MV Boucher', 'SP Goswami']","['A Nehra', 'SM Pollock', 'CRD Fernando']",36
M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"['SR Tendulkar', 'ST Jayasuriya']","['A Kumble', 'DW Steyn', 'P Kumar', 'R Vinay Kumar']",32
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kings XI Punjab,"['S Badrinath', 'S Vidyut', 'SP Fleming', 'SK Raina']","['S Sreesanth', 'IK Pathan', 'VRV Singh']",44
"MA Chidambaram Stadium, Chepauk",2,Kings XI Punjab,Chennai Super Kings,"['SE Marsh', 'K Goel', 'JR Hopes', 'RR Sarwan']","['JA Morkel', 'MS Gony']",35
"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,Deccan Chargers,"['A Chopra', 'Salman Butt', 'SC Ganguly']","['SB Styris', 'WPUJC Vaas', 'RP Singh', 'DP Vijaykumar']",43
"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Kolkata Knight Riders,"['SB Styris', 'AC Gilchrist', 'RG Sharma', 'HH Gibbs', 'DB Ravi Teja']","['AB Dinda', 'Umar Gul', 'I Sharma']",51
Sawai Mansingh Stadium,1,Delhi Daredevils,Rajasthan Royals,"['G Gambhir', 'V Sehwag']","['AD Mascarenhas', 'SR Watson', 'MM Patel']",46
Sawai Mansingh Stadium,2,Rajasthan Royals,Delhi Daredevils,"['SR Watson', 'YK Pathan', 'GC Smith', 'M Kaif']","['MF Maharoof', 'GD McGrath', 'PJ Sangwan']",21
"Punjab Cricket Association Stadium, Mohali",1,Royal Challengers Bangalore,Kings XI Punjab,"['J Arunkumar', 'CL White', 'Misbah-ul-Haq', 'R Dravid', 'V Kohli']","['S Sreesanth', 'IK Pathan', 'PP Chawla']",50
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Royal Challengers Bangalore,"['SE Marsh', 'JR Hopes']","['P Kumar', 'DW Steyn', 'Z Khan']",40
Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,"['A Chopra', 'Salman Butt']","['GD McGrath', 'PJ Sangwan', 'VY Mahesh']",34
Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,"['TM Dilshan', 'AB de Villiers', 'S Dhawan', 'MK Tiwary', 'G Gambhir', 'V Sehwag']","['I Sharma', 'AB Dinda', 'Shoaib Akhtar']",36
Wankhede Stadium,1,Chennai Super Kings,Mumbai Indians,"['S Badrinath', 'S Vidyut', 'SP Fleming', 'SK Raina']","['A Nehra', 'SM Pollock', 'DJ Bravo']",28
Wankhede Stadium,2,Mumbai Indians,Chennai Super Kings,"['SR Tendulkar', 'ST Jayasuriya']","['JA Morkel', 'MS Gony']",75
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Rajasthan Royals,"['SE Marsh', 'JR Hopes']","['SR Watson', 'Pankaj Singh', 'MM Patel']",51
"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Kings XI Punjab,"['Younis Khan', 'Niraj Patel', 'SR Watson', 'M Kaif']","['S Sreesanth', 'JR Hopes', 'IK Pathan']",37
Feroz Shah Kotla,1,Delhi Daredevils,Deccan Chargers,"['S Dhawan', 'G Gambhir', 'V Sehwag']","['RP Singh', 'PM Sarvesh Kumar', 'DP Vijaykumar']",47
Feroz Shah Kotla,2,Deccan Chargers,Delhi Daredevils,"['AC Gilchrist', 'HH Gibbs', 'Shahid Afridi']","['Mohammad Asif', 'GD McGrath', 'MF Maharoof']",64
Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,"['SC Ganguly', 'Salman Butt', 'DJ Hussey', 'A Chopra', 'Mohammad Hafeez']","['A Nehra', 'SM Pollock', 'DJ Bravo']",25
Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,"['SR Tendulkar', 'RV Uthappa', 'DJ Thornely', 'ST Jayasuriya']","['I Sharma', 'AB Agarkar', 'Shoaib Akhtar']",68
Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,"['G Gambhir', 'V Sehwag']","['S Sreesanth', 'IK Pathan', 'VRV Singh']",57
Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,"['JR Hopes', 'SE Marsh', 'DPMD Jayawardene', 'LA Pomersbach', 'Yuvraj Singh']","['GD McGrath', 'A Mishra', 'PJ Sangwan', 'V Sehwag']",71
Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"['GC Smith', 'SA Asnodkar']","['JH Kallis', 'Z Khan', 'P Kumar']",44
Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,"['J Arunkumar', 'JH Kallis', 'CL White', 'Misbah-ul-Haq', 'V Kohli']","['Sohail Tanvir', 'MM Patel']",22
"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Deccan Chargers,"['SR Tendulkar', 'DJ Thornely', 'ST Jayasuriya']","['Y Venugopal Rao', 'RP Singh', 'DNT Zoysa', 'DP Vijaykumar']",57
"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Mumbai Indians,"['AC Gilchrist', 'Shahid Afridi', 'RG Sharma', 'LPC Silva', 'Y Venugopal Rao']","['A Nehra', 'CRD Fernando', 'DJ Bravo', 'RR Raje']",27
Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,"['Mohammad Hafeez', 'DB Das', 'Salman Butt', 'SC Ganguly']","['M Ntini', 'MS Gony']",35
Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,"['PA Patel', 'SP Fleming']","['I Sharma', 'AB Agarkar', 'AB Dinda', 'Shoaib Akhtar']",40
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,"['JH Kallis', 'B Chipli', 'SP Goswami']","['GD McGrath', 'PJ Sangwan', 'VY Mahesh']",30
M Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,"['G Gambhir', 'V Sehwag']","['P Kumar', 'JH Kallis', 'DW Steyn', 'Z Khan']",70
Eden Gardens,1,Kolkata Knight Riders,Rajasthan Royals,"['Mohammad Hafeez', 'Salman Butt', 'SC Ganguly']","['SR Watson', 'Sohail Tanvir', 'MM Patel']",32
Eden Gardens,2,Rajasthan Royals,Kolkata Knight Riders,"['SR Watson', 'Sohail Tanvir', 'GC Smith', 'SA Asnodkar']","['AB Dinda', 'Umar Gul', 'AB Agarkar', 'I Sharma']",42
Wankhede Stadium,1,Kings XI Punjab,Mumbai Indians,"['SE Marsh', 'JR Hopes', 'LA Pomersbach']","['A Nehra', 'SM Pollock', 'VS Yeligati']",43
Wankhede Stadium,2,Mumbai Indians,Kings XI Punjab,"['SR Tendulkar', 'ST Jayasuriya', 'DR Smith']","['S Sreesanth', 'IK Pathan', 'VRV Singh']",63
"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Chennai Super Kings,"['JH Kallis', 'V Kohli', 'SP Goswami', 'R Dravid']","['M Ntini', 'MS Gony']",23
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Royal Challengers Bangalore,"['PA Patel', 'SP Fleming']","['A Kumble', 'DW Steyn', 'P Kumar', 'JH Kallis']",44
"Punjab Cricket Association Stadium, Mohali",1,Deccan Chargers,Kings XI Punjab,"['AC Gilchrist', 'HH Gibbs']","['S Sreesanth', 'RR Powar', 'VRV Singh']",42
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Deccan Chargers,"['SE Marsh', 'KC Sangakkara']","['SB Styris', 'Y Venugopal Rao', 'RP Singh', 'DP Vijaykumar']",74
Feroz Shah Kotla,1,Mumbai Indians,Delhi Daredevils,"['SR Tendulkar', 'ST Jayasuriya']","['B Geeves', 'MF Maharoof', 'GD McGrath', 'VY Mahesh']",60
Feroz Shah Kotla,2,Delhi Daredevils,Mumbai Indians,"['S Dhawan', 'MK Tiwary', 'G Gambhir', 'V Sehwag']","['A Nehra', 'SM Pollock', 'DS Kulkarni', 'A Nel']",56
"MA Chidambaram Stadium, Chepauk",1,Rajasthan Royals,Chennai Super Kings,"['GC Smith', 'SA Asnodkar']","['JA Morkel', 'M Ntini', 'MS Gony']",67
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Rajasthan Royals,"['PA Patel', 'SK Raina', 'SP Fleming']","['Sohail Tanvir', 'Pankaj Singh', 'YK Pathan', 'MM Patel']",65
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Deccan Chargers,"['W Jaffer', 'V Kohli', 'B Chipli']","['SB Styris', 'RP Singh', 'Shahid Afridi', 'DP Vijaykumar']",44
M Chinnaswamy Stadium,2,Deccan Chargers,Royal Challengers Bangalore,"['AC Gilchrist', 'HH Gibbs', 'RG Sharma', 'VVS Laxman']","['P Kumar', 'DW Steyn', 'Z Khan']",29
Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,"['SE Marsh', 'KC Sangakkara', 'JR Hopes']","['I Sharma', 'BAW Mendis', 'Umar Gul']",44
Eden Gardens,2,Kolkata Knight Riders,Kings XI Punjab,"['DB Das', 'Salman Butt', 'DJ Hussey', 'SC Ganguly']","['S Sreesanth', 'IK Pathan', 'RR Powar']",47
Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,"['SR Tendulkar', 'ST Jayasuriya']","['SR Watson', 'Sohail Tanvir', 'Pankaj Singh', 'YK Pathan']",28
Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,"['SR Watson', 'SA Asnodkar', 'YK Pathan', 'Kamran Akmal']","['A Nehra', 'SM Pollock', 'CRD Fernando']",34
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Chennai Super Kings,"['AC Gilchrist', 'HH Gibbs', 'SB Styris', 'Y Venugopal Rao']","['M Ntini', 'MS Gony']",26
"Rajiv Gandhi International Stadium, Uppal",2,Chennai Super Kings,Deccan Chargers,"['PA Patel', 'SK Raina', 'SP Fleming']","['RP Singh', 'Shahid Afridi', 'DP Vijaykumar']",39
Wankhede Stadium,1,Rajasthan Royals,Delhi Daredevils,"['GC Smith', 'SA Asnodkar']","['Mohammad Asif', 'GD McGrath', 'VY Mahesh']",58
Wankhede Stadium,2,Delhi Daredevils,Rajasthan Royals,"['TM Dilshan', 'S Dhawan', 'MK Tiwary', 'G Gambhir', 'V Sehwag']","['SR Watson', 'Sohail Tanvir', 'MM Patel']",22
Wankhede Stadium,1,Kings XI Punjab,Chennai Super Kings,"['JR Hopes', 'IK Pathan', 'SE Marsh', 'KC Sangakkara', 'DPMD Jayawardene', 'Yuvraj Singh']","['M Muralitharan', 'M Ntini', 'MS Gony']",34
Wankhede Stadium,2,Chennai Super Kings,Kings XI Punjab,"['PA Patel', 'S Vidyut', 'SK Raina']","['S Sreesanth', 'IK Pathan', 'VRV Singh', 'RR Powar']",35
Dr DY Patil Sports Academy,1,Chennai Super Kings,Rajasthan Royals,"['PA Patel', 'S Vidyut', 'SK Raina']","['SR Watson', 'Sohail Tanvir', 'YK Pathan', 'MM Patel']",41
Dr DY Patil Sports Academy,2,Rajasthan Royals,Chennai Super Kings,"['Niraj Patel', 'SA Asnodkar', 'Kamran Akmal']","['M Ntini', 'MS Gony']",41
Newlands,1,Mumbai Indians,Chennai Super Kings,"['SR Tendulkar', 'S Dhawan', 'ST Jayasuriya']","['T Thushara', 'MS Gony', 'A Flintoff']",40
Newlands,2,Chennai Super Kings,Mumbai Indians,"['PA Patel', 'SK Raina', 'A Flintoff', 'ML Hayden']","['SL Malinga', 'DJ Bravo', 'Z Khan']",37
Newlands,1,Royal Challengers Bangalore,Rajasthan Royals,"['KP Pietersen', 'RV Uthappa', 'R Dravid', 'LRPL Taylor', 'JD Ryder']","['AD Mascarenhas', 'Kamran Khan', 'MM Patel']",29
Newlands,2,Rajasthan Royals,Royal Challengers Bangalore,"['Niraj Patel', 'T Henderson', 'GC Smith', 'SA Asnodkar']","['R Vinay Kumar', 'DW Steyn', 'P Kumar']",13
Newlands,1,Kings XI Punjab,Delhi Daredevils,"['K Goel', 'RS Bopara']","['AM Salvi', 'DP Nannes', 'PJ Sangwan', 'VY Mahesh']",64
Newlands,2,Delhi Daredevils,Kings XI Punjab,"['G Gambhir', 'V Sehwag']","['PP Chawla', 'IK Pathan', 'YA Abdulla', 'VS Malik', 'VRV Singh']",54
Newlands,1,Kolkata Knight Riders,Deccan Chargers,"['SC Ganguly', 'CH Gayle', 'A Chopra', 'BB McCullum', 'BJ Hodge']","['RP Singh', 'FH Edwards', 'Harmeet Singh']",17
Newlands,2,Deccan Chargers,Kolkata Knight Riders,"['AC Gilchrist', 'HH Gibbs', 'RG Sharma', 'VVS Laxman']","['AB Dinda', 'I Sharma']",37
St George's Park,1,Chennai Super Kings,Royal Challengers Bangalore,"['PA Patel', 'ML Hayden']","['JH Kallis', 'DW Steyn', 'P Kumar', 'R Vinay Kumar']",68
St George's Park,2,Royal Challengers Bangalore,Chennai Super Kings,"['RV Uthappa', 'JH Kallis', 'LRPL Taylor', 'P Kumar']","['JA Morkel', 'L Balaji', 'MS Gony']",44
Kingsmead,1,Kings XI Punjab,Kolkata Knight Riders,"['K Goel', 'RS Bopara', 'IK Pathan']","['I Sharma', 'MC Henriques', 'AB Dinda']",46
Kingsmead,2,Kolkata Knight Riders,Kings XI Punjab,"['BB McCullum', 'CH Gayle', 'BJ Hodge']","['VS Malik', 'IK Pathan', 'YA Abdulla']",57
Newlands,1,Deccan Chargers,Royal Challengers Bangalore,"['AC Gilchrist', 'HH Gibbs', 'VVS Laxman']","['JH Kallis', 'DW Steyn', 'P Kumar']",62
Newlands,2,Royal Challengers Bangalore,Deccan Chargers,"['RV Uthappa', 'JH Kallis', 'KP Pietersen', 'JD Ryder']","['RP Singh', 'FH Edwards', 'Harmeet Singh']",30
Kingsmead,1,Delhi Daredevils,Chennai Super Kings,"['TM Dilshan', 'G Gambhir', 'AB de Villiers', 'V Sehwag']","['JA Morkel', 'L Balaji', 'MS Gony', 'A Flintoff']",59
Kingsmead,2,Chennai Super Kings,Delhi Daredevils,"['PA Patel', 'SK Raina', 'ML Hayden']","['A Nehra', 'AM Salvi', 'DP Nannes', 'PJ Sangwan']",60
Newlands,1,Rajasthan Royals,Kolkata Knight Riders,"['GC Smith', 'YK Pathan', 'RJ Quiney', 'PC Valthaty']","['I Sharma', 'Anureet Singh', 'AB Agarkar']",50
Newlands,2,Kolkata Knight Riders,Rajasthan Royals,"['BB McCullum', 'CH Gayle', 'LR Shukla']","['AD Mascarenhas', 'YK Pathan']",33
Newlands,3,Kolkata Knight Riders,Rajasthan Royals,"['BB McCullum', 'CH Gayle']",['Kamran Khan'],15
Newlands,4,Rajasthan Royals,Kolkata Knight Riders,['YK Pathan'],['BAW Mendis'],18
Kingsmead,1,Royal Challengers Bangalore,Kings XI Punjab,"['JH Kallis', 'KP Pietersen', 'RV Uthappa', 'R Dravid', 'JD Ryder']","['RR Bose', 'IK Pathan', 'YA Abdulla']",49
Kingsmead,2,Kings XI Punjab,Royal Challengers Bangalore,"['K Goel', 'RS Bopara']","['JH Kallis', 'R Vinay Kumar', 'Pankaj Singh', 'P Kumar']",40
